OBJECTID_12_13_14_15_16,OBJECTID,TRACT,TRACTCE10,GEOID10,NAME10,NAMELSAD10,ACRES_TOTA,WATER,SHAPE_Leng,TC_ID,OBJECTID_1,TRACT_1,TRACTCE10_1,GEOID10_1,NAME10_1,NAMELSAD10_1,ACRES_TOTAL,PCT_PEOPLE_OF_COLOR,PTL_PEOPLE_OF_COLOR,PCT_ENGLISH_LESSTHAN_VERY_WELL,PTL_ENGLISH_LESSTHAN_VERY_WELL,PCT_FOREIGN_BORN,PTL_FOREIGN_BORN,PCT_POP_INC_UNDER_200_POVERTY,PTL_POP_INC_UNDER_200_POVERTY,PCT_LESS_BACHELOR_DEGREE,PTL_LESS_BACHELOR_DEGREE,PCT_ADULTNOLEISUREPHYSACTIVITY,PCT_ADULT_WITH_DIABETES,PCT_ADULT_OBESE,PCT_ADULTMENTALHEALTHNOTGOOD,PCT_ADULT_WITH_ASTHMA,PCT_ADULT_WITH_DISABILITIES,PCT_LOW_LIFE_EXPECT_AT_BIRTH,PTL_ADULTNOLEISUREPHYSACTIVITY,PTL_ADULT_DIAGNOSED_DIABETES,PTL_ADULT_OBESE,PTL_ADULTMENTALHEALTHNOTGOOD,PTL_ADULT_WITH_ASTHMA,PTL_ADULT_WITH_DISABILITIES,PTL_LOW_LIFE_EXPECT_AT_BIRTH,COMPOSITE_PERCENTILE,COMPOSITE_QUINTILE,RACE_ELL_ORIGINS_PERCENTILE,RACE_ELL_ORIGINS_QUINTILE,SOCIOECONOMIC_PERCENTILE,SOCIOECONOMIC_QUINTILE,HEALTH_PERCENTILE,HEALTH_QUINTILE,RSE_Priority_Rank,OBJECTID_12,TC_ID_1,Total_A,Can_A,Grass_A,Soil_A,Water_A,Build_A,Road_A,Paved_A,Perv_A,Imperv_A,Can_P,Grass_P,Soil_P,Water_P,Build_P,Road_P,Paved_P,Perv_P,Imperv_P,TC_E_A,TC_Pv_A,TC_Land_A,TC_Pi_A,TC_P_A,TC_E_P,TC_Pv_P,TC_P_P,TC_Pi_P,TC_Land_A_1,Gain,Loss,No_Change,TreeCanopy_2016_Area,TreeCanopy_2021_Area,Change_Area,Change_PercentChange,TreeCanopy_2016_Percent,TreeCanopy_2021_Percent,Change_Percent_AbsDiff,OBJECTID_12_13,OBJECTID_12_13_14,TC_ID_12,OBJECTID_12_13_14_15,TC_ID_12_13,Shape__Area,Shape__Length
27,67,2400,002400,53033002400,24,Census Tract 24,241.67956487,0,13847.8102567312,67,55,,,,,,241.67956487,0.2562396,0.467,0.03991741,0.474,0.12379368,0.391,0.09584027,0.083,0.32780269,0.422,0.119,0.059,0.207,0.085,0.085,0.0813112,0.8558,0.278,0.436,0.24,0.195,0.24,0.308,0.188,0.286,Second lowest,0.467,Middle,0.204,Second lowest,0.211,Second lowest,2,,,10527745,3643433,3353921,19778,0,1936561,1226493,347559,7017132,3510613,34.6079146103938,31.8579239903702,0.187865492562747,0,18.3948319416931,11.6501017074407,3.30136225753948,66.6537040933267,33.3462959066733,3643433,3353921,10527745,367337,3721258,34.6079146103938,31.8579239903702,35.3471517404724,3.48922775010223,,371460,396450,3271973,3668423,3643433,-24990,-0.68121915057233,34.8452873811058,34.6079146103938,-0.237372770712057,,,,,,10527560.7788086,13847.8095934394
28,68,2000,002000,53033002000,20,Census Tract 20,279.6981736,0,15511.7436966403,68,90,,,,,,279.6981736,0.14943789,0.106,0.0330481,0.384,0.12859885,0.444,0.18508363,0.452,0.35691546,0.474,0.127,0.056,0.217,0.092,0.088,0.09570313,0.827,0.443,0.36,0.428,0.451,0.533,0.451,0.527,0.444,Middle,0.234,Second lowest,0.489,Middle,0.497,Middle,3,,,12183658,4058440,4298828,79636,0,2109768,1171519,465467,8436904,3746754,33.3105213557373,35.2835576967114,0.653629640621889,0,17.3163757551304,9.61549478818266,3.82042076361631,69.2477086930707,30.7522913069293,4058440,4298828,12183658,545103,4843931,33.3105213557373,35.2835576967114,39.7576081009496,4.4740504042382,,426551,501178,3631889,4133067,4058440,-74627,-1.80560828072712,33.9230385488496,33.3105213557373,-0.612517193112282,,,,,,12183650.6922913,15511.7427692417
29,69,2100,002100,53033002100,21,Census Tract 21,337.39104098,0,16139.9210115859,69,103,,,,,,337.39104098,0.25127955,0.444,0.06309554,0.61,0.1849866,0.632,0.15475024,0.339,0.3552,0.467,0.123,0.058,0.209,0.086,0.084,0.09334924,0.8662,0.368,0.398,0.285,0.233,0.135,0.413,0.061,0.429,Middle,0.557,Middle,0.429,Middle,0.234,Second lowest,3,,,14696739,5650765,4795734,21334,0,2531616,1398188,299102,10467833,4228906,38.4491076557868,32.6312796328492,0.145161453843604,0,17.2256988438047,9.51359345770514,2.03515895601058,71.2255487424795,28.7744512575205,5650765,4795734,14696739,320436,5116170,38.4491076557868,32.6312796328492,34.8116000427033,2.18032040985419,,538386,663741,5112379,5776120,5650765,-125355,-2.17022845785752,39.3020519722096,38.4491076557868,-0.85294431642285,,,,,,14696752.4498901,16139.9204041344
30,70,1900,001900,53033001900,19,Census Tract 19,410.97098497,0,21117.7835030534,70,3,,,,,,410.97098497,0.30173314,0.557,0.07926566,0.647,0.1918981,0.655,0.21161563,0.519,0.40390969,0.587,0.141,0.061,0.225,0.102,0.089,0.12621595,0.8176,0.586,0.458,0.624,0.609,0.593,0.751,0.61,0.617,Second highest,0.617,Second highest,0.579,Middle,0.662,Second highest,4,,,17902013,4901020,5865480,15664,43388,3102887,2290108,1683466,10825552,7076461,27.3769212434378,32.7643600750374,0.0874985399686616,0.242363805679283,17.3326150528435,12.7924608254949,9.40378045753849,60.4711436641231,39.5288563358769,4901020,5865480,17858625,1699130,7564610,27.4434341949618,32.8439619511581,42.3583002610783,9.51433830992028,,563426,663248,4337594,5000842,4901020,-99822,-1.99610385611063,28.0023910015469,27.4434341949618,-0.558956806585055,,,,,,17901894.4004822,21117.782180705
31,71,1800,001800,53033001800,18,Census Tract 18,232.99785609,0,14099.4819625573,71,122,,,,,,232.99785609,0.32064394,0.602,0.1048026,0.707,0.16003788,0.579,0.28409091,0.64,0.39704719,0.579,0.135,0.042,0.218,0.108,0.091,0.05911758,0.8052,0.526,0.09,0.458,0.706,0.669,0.105,0.737,0.602,Second highest,0.625,Second highest,0.625,Second highest,0.519,Middle,4,,,10149431,2243201,2683094,572483,3150,2477094,1309093,861316,5501928,4647503,22.1017414670832,26.4359056187485,5.64054280481339,0.0310362226217411,24.4062351869775,12.8981910414485,8.48634765830715,54.2092261132668,45.7907738867332,2243201,2683094,10146281,1433799,4116893,22.1086031423731,26.4441128724899,40.5753891499753,14.1312762774853,,310819,271433,1932382,2203815,2243201,39386,1.78717360576999,21.7204215022233,22.1086031423731,0.388181640149725,,,,,,10149385.9811707,14099.4812896225
32,72,900,000900,53033000900,9,Census Tract 9,234.72353208,0,21457.1378410922,72,56,,,,,,234.72353208,0.22654964,0.354,0.03758542,0.422,0.1278113,0.429,0.08522413,0.068,0.24914676,0.173,0.123,0.074,0.208,0.079,0.083,0.07677165,0.8558,0.368,0.684,0.255,0.06,0.082,0.263,0.188,0.173,Lowest,0.407,Middle,0.076,Lowest,0.196,Second lowest,1,,,10224606,4068237,3418620,55187,40294,1742960,611680,287628,7582338,2642268,39.78869210217,33.4352247900799,0.53974695944274,0.394088535049664,17.0467204310856,5.98243101005555,2.81309617211656,74.1577523867423,25.8422476132577,4068237,3418620,10184312,342815,3761435,39.946115162222,33.5675105004638,36.9336190800125,3.36610857954862,,398018,421263,3670219,4091482,4068237,-23245,-0.568131547444178,40.1743583660831,39.946115162222,-0.228243203861005,,,,,,10224556.151825,21457.1364333089
33,73,1300,001300,53033001300,13,Census Tract 13,292.55118422,0,15034.4701421118,73,4,,,,,,292.55118422,0.40545496,0.692,0.12756705,0.767,0.23149209,0.73,0.21842769,0.549,0.46841339,0.692,0.144,0.058,0.223,0.103,0.089,0.15250199,0.7929,0.639,0.398,0.586,0.624,0.593,0.842,0.828,0.73,Second highest,0.73,Second highest,0.647,Second highest,0.707,Second highest,4,,,12743527,3110414,3585307,8221,3385,2775140,1679260,1581800,6707327,6036200,24.4077954242966,28.1343383193679,0.0645111828146164,0.026562505027062,21.7768597343577,13.1773566297619,12.4125762043742,52.6332074315062,47.3667925684938,3110414,3585307,12740142,1590021,5175328,24.4142804687734,28.1418134899909,40.6222159847198,12.4804024947289,,360712,418298,2749702,3168000,3110414,-57586,-1.8177398989899,24.8662848498863,24.4142804687734,-0.452004381112864,,,,,,12743528.0027161,15034.4691396732
34,74,1100,001100,53033001100,11,Census Tract 11,262.01774748,0,14316.8853745215,74,40,,,,,,262.01774748,0.31623305,0.594,0.09733124,0.692,0.17295713,0.602,0.1451081,0.316,0.3870156,0.549,0.135,0.065,0.221,0.093,0.085,0.07419065,0.8091,0.526,0.526,0.533,0.473,0.24,0.24,0.677,0.549,Middle,0.64,Second highest,0.467,Middle,0.504,Middle,3,,,11413484,5052884,3511805,7388,0,1654450,957260,229697,8572077,2841407,44.271179597746,30.7689133309338,0.0647304539087276,0,14.495573831794,8.38709722640344,2.012505559214,75.1048233825885,24.8951766174115,5052884,3511805,11413484,237085,3748890,44.271179597746,30.7689133309338,32.8461493440566,2.07723601312272,,433788,505231,4619096,5124327,5052884,-71443,-1.39419283742041,44.8971321990726,44.271179597746,-0.625952601326638,,,,,,11413492.8712463,14316.8847136625
35,75,1000,001000,53033001000,10,Census Tract 10,235.83566539,0,13304.7244257489,75,123,,,,,,235.83566539,0.36788618,0.647,0.10197368,0.7,0.20071138,0.677,0.33485772,0.722,0.37056604,0.512,0.161,0.078,0.25,0.11,0.094,0.09517335,0.831,0.729,0.759,0.834,0.736,0.766,0.443,0.497,0.692,Second highest,0.662,Second highest,0.64,Second highest,0.737,Second highest,4,,,10272994,3571139,4007612,169634,0,1610301,737901,176407,7748385,2524609,34.7623974081947,39.0111393036928,1.65126155043019,0,15.6750894627214,7.18292057797367,1.71719169698727,75.4247982623177,24.5752017376823,3571139,4007612,10272994,346041,4353653,34.7623974081947,39.0111393036928,42.3795925511102,3.36845324741745,,343892,367908,3227247,3595155,3571139,-24016,-0.668010141426448,34.9961754090385,34.7623974081947,-0.233778000843763,,,,,,10273000.2481689,13304.723749005
36,76,1200,001200,53033001200,12,Census Tract 12,453.17223874,0,20845.2028120641,76,41,,,,,,453.17223874,0.41410072,0.707,0.19550493,0.873,0.30244604,0.865,0.41732055,0.865,0.53196784,0.767,0.172,0.076,0.235,0.113,0.094,0.15294925,0.8333,0.781,0.714,0.751,0.796,0.766,0.849,0.437,0.797,Highest priority/Most disadvantaged,0.797,Highest priority/Most disadvantaged,0.835,Highest priority/Most disadvantaged,0.775,Second highest,5,,,19740238,4506968,4733217,6796,14662,3749025,2727215,4002355,9261643,10478595,22.8313761971867,23.9775072620705,0.0344271431783143,0.0742746870630435,18.9917922975397,13.8155122547155,20.2751101582463,46.9175852894985,53.0824147105015,4506968,4733217,19725576,4009151,8742368,22.8483467352233,23.9953297181284,44.3199630773773,20.3246333592489,,469329,641279,4037639,4678918,4506968,-171950,-3.67499494541259,23.7200576550971,22.8483467352233,-0.871710919873774,,,,,,19740179.9597778,20845.2018324572
37,77,800,000800,53033000800,8,Census Tract 8,282.07307061,0,15396.722147055,77,124,,,,,,282.07307061,0.16006467,0.151,0.01921435,0.226,0.07073565,0.083,0.11742739,0.143,0.38551651,0.542,0.133,0.069,0.215,0.089,0.086,0.07231405,0.8114,0.511,0.609,0.398,0.353,0.345,0.225,0.647,0.324,Second lowest,0.128,Lowest,0.346,Second lowest,0.467,Middle,2,,,12287096,5104725,4146964,26422,96715,1853257,893087,165926,9374826,2912270,41.545414799396,33.7505623786125,0.215038606355806,0.787126591995375,15.082953693859,7.26849533852425,1.35040859125704,76.2981423763597,23.7018576236403,5104725,4146964,12190381,192348,4339312,41.8750242506776,34.0183296978167,35.5961967062391,1.57786700842246,,485059,554435,4619666,5174101,5104725,-69376,-1.34083196288592,42.444128694583,41.8750242506776,-0.569104443905402,,,,,,12287101.9970093,15396.7211640586
38,78,600,000600,53033000600,6,Census Tract 6,948.31318595,0,31707.3871545067,78,79,,,,,,948.31318595,0.3643488,0.64,0.11474104,0.737,0.21544968,0.7,0.32917395,0.707,0.50993263,0.73,0.156,0.071,0.22,0.101,0.088,0.11109411,0.8168,0.706,0.646,0.518,0.601,0.533,0.609,0.617,0.73,Second highest,0.685,Second highest,0.737,Second highest,0.655,Second highest,4,,,41308489,11349430,13448492,132128,596464,6936967,3954736,4890272,25526514,15781975,27.4748127436954,32.5562428584594,0.319856773265176,1.44392596882447,16.7930785364723,9.57366414443288,11.8384189748504,61.7948383442445,38.2051616557556,11349430,13448492,40712025,5022400,18470892,27.8773409084908,33.0332180725474,45.3696223658735,12.3364042933261,,1084445,1298047,10264985,11563032,11349430,-213602,-1.84728365362995,28.402006532468,27.8773409084908,-0.524665623977196,,,,,,41308518.2470703,31707.3855116077
39,79,700,000700,53033000700,7,Census Tract 7,319.89860374,0,16213.540329214,79,23,,,,,,319.89860374,0.42592991,0.73,0.13801843,0.79,0.25284885,0.767,0.30562137,0.692,0.53013154,0.76,0.154,0.067,0.236,0.106,0.091,0.10678098,0.8395,0.699,0.571,0.759,0.691,0.669,0.556,0.376,0.745,Second highest,0.76,Second highest,0.745,Second highest,0.67,Second highest,4,,,13934800,4642871,4494630,0,0,2528998,1464021,804280,9137501,4797299,33.3185334558085,32.2547148147085,0,0,18.1487929500244,10.5062218331085,5.77173694635014,65.573248270517,34.426751729483,4642871,4494630,13934800,804280,5298910,33.3185334558085,32.2547148147085,38.0264517610586,5.77173694635014,,429480,551558,4213391,4764949,4642871,-122078,-2.56200013893118,34.1945991331056,33.3185334558085,-0.876065677297127,,,,,,13934781.0831299,16213.539655057
40,80,100,000100,53033000100,1,Census Tract 1,456.92702921,0,19590.4834360763,80,125,,,,,,456.92702921,0.42349539,0.722,0.16954315,0.835,0.28949181,0.828,0.36179931,0.782,0.51854613,0.752,0.169,0.08,0.25,0.112,0.094,0.14544849,0.7852,0.766,0.766,0.834,0.759,0.766,0.812,0.888,0.805,Highest priority/Most disadvantaged,0.79,Second highest,0.79,Second highest,0.85,Highest priority/Most disadvantaged,5,,,19903790,7163712,6257742,11100,27094,3657319,1581409,1205414,13459648,6444142,35.9916980635346,31.4399518885599,0.0557682732786067,0.136124828487439,18.3749878791929,7.94526570065299,6.05620336629356,67.6235430538606,32.3764569461394,7163712,6257742,19876696,1216514,7474256,36.0407584842068,31.4828078066898,37.6031106980758,6.12030289138597,,653148,854485,6510564,7365049,7163712,-201337,-2.73368174468357,37.053688399722,36.0407584842068,-1.01292991551514,,,,,,19903738.3572998,19590.4824487128
41,81,300,000300,53033000300,3,Census Tract 3,299.10185078,0,17267.9744895651,81,104,,,,,,299.10185078,0.23886926,0.391,0.05059084,0.564,0.095053,0.234,0.29280397,0.67,0.612073,0.85,0.166,0.076,0.244,0.114,0.095,0.16080178,0.8005,0.751,0.714,0.796,0.812,0.819,0.864,0.782,0.685,Second highest,0.391,Second lowest,0.775,Second highest,0.828,Highest priority/Most disadvantaged,4,,,13028887,4173311,4112365,0,0,2012108,1797865,933238,8285676,4743211,32.0312164807324,31.5634405302617,0,0,15.4434373404267,13.7990681782719,7.16283747030733,63.5946570109941,36.4053429890059,4173311,4112365,13028887,933238,5045603,32.0312164807324,31.5634405302617,38.726278000569,7.16283747030733,,378415,523240,3794896,4318136,4173311,-144825,-3.35387769167067,33.1427849516233,32.0312164807324,-1.11156847089088,,,,,,13028875.3245544,17267.9738231408
42,82,4100,004100,53033004100,41,Census Tract 41,787.83067595,0,35293.1619894961,82,5,,,,,,787.83067595,0.16444221,0.158,0.04552694,0.519,0.15033996,0.549,0.11862052,0.158,0.1807973,0.038,0.113,0.06,0.201,0.077,0.082,0.07795925,0.8835,0.157,0.451,0.127,0.037,0.037,0.27,0.016,0.136,Lowest,0.361,Second lowest,0.053,Lowest,0.076,Lowest,1,,,34317938,12279205,10475550,65537,78865,6219962,3387215,1811604,22899157,11418781,35.7807191096388,30.5249983259484,0.190970098494845,0.229806930707783,18.124521350904,9.87010058704576,5.27888359726042,66.7264944647898,33.2735055352102,12279205,10475550,34239073,1877141,12352691,35.8631350796209,30.595308465273,36.0777612174255,5.48245275215249,,1332399,1352372,10946806,12299178,12279205,-19973,-0.16239296642426,35.9214690187436,35.8631350796209,-0.0583339391227113,,,,,,34317899.6573181,35293.1603652309
43,83,5200,005200,53033005200,52,Census Tract 52,238.39255452,0,14181.3842712654,83,91,,,,,,238.39255452,0.47873107,0.767,0.11771718,0.752,0.28622927,0.82,0.53454019,0.933,0.30316456,0.324,0.146,0.043,0.2,0.12,0.094,0.06855533,0.8458,0.661,0.105,0.082,0.887,0.766,0.18,0.294,0.625,Second highest,0.775,Second highest,0.662,Second highest,0.414,Middle,4,,,10384399,2248575,2285571,22054,8383,2387786,2222182,1209848,4564583,5819816,21.6533956370513,22.0096608383403,0.212376277144204,0.0807268672939089,22.9939739411015,21.3992355262929,11.650630912776,43.9561596198297,56.0438403801703,2248575,2285571,10376016,1231902,3517473,21.6708898675561,22.0274429029408,33.9000344640949,11.8725915611541,,291132,337661,1957443,2295104,2248575,-46529,-2.02731553777084,22.1193182431484,21.6708898675561,-0.448428375592329,,,,,,10384378.1078491,14181.3832752502
44,84,5100,005100,53033005100,51,Census Tract 51,217.86364678,0,13462.590730929,84,57,,,,,,217.86364678,0.17257488,0.181,0.03835063,0.429,0.09975268,0.264,0.11843913,0.151,0.2308542,0.128,0.107,0.047,0.205,0.082,0.084,0.07866667,0.8511,0.09,0.218,0.21,0.097,0.135,0.278,0.241,0.128,Lowest,0.249,Second lowest,0.091,Lowest,0.121,Lowest,1,,,9490141,3009067,2669313,8192,0,2245290,1206180,352099,5686572,3803569,31.7072949706437,28.1272217135657,0.0863211621407943,0,23.6591848319219,12.7098216981181,3.71015562360981,59.9208378463502,40.0791621536498,3009067,2669313,9490141,360291,3029604,31.7072949706437,28.1272217135657,31.9236984993163,3.7964767857506,,351143,385657,2657924,3043581,3009067,-34514,-1.13399314820273,32.0709776598683,31.7072949706437,-0.363682689224532,,,,,,9490140.03955078,13462.5900568993
45,85,5301,005301,53033005301,53.01,Census Tract 53.01,134.28972565,0,11330.9224747702,85,58,,,,,,134.28972565,0.54533262,0.828,0.19048902,0.865,0.33328863,0.91,0.76561265,1,0.49264333,0.722,0.17,0.033,0.198,0.162,0.113,0.07082424,0.865,0.774,0.007,0.06,1,0.984,0.21,0.091,0.76,Second highest,0.873,Highest priority/Most disadvantaged,0.91,Highest priority/Most disadvantaged,0.459,Middle,4,,,5849653,795465,561386,2056,0,2289940,1108678,1092128,1358907,4490746,13.5984989195086,9.59691113301934,0.0351473839559372,0,39.1465955331026,18.952884897617,18.6699621327966,23.2305574364838,76.7694425635162,795465,561386,5849653,1094184,1655570,13.5984989195086,9.59691113301934,28.3020206497719,18.7051095167525,,95861,105789,699604,805393,795465,-9928,-1.2326901276768,13.7682183883386,13.5984989195086,-0.169719468830031,,,,,,5849659.28112793,11330.9214788706
46,86,5000,005000,53033005000,50,Census Tract 50,187.14268528,0,11560.1479170421,86,6,,,,,,187.14268528,0.19002625,0.256,0.03079858,0.361,0.11312336,0.346,0.20787402,0.512,0.26632997,0.241,0.104,0.038,0.193,0.083,0.084,0.07278669,0.8378,0.037,0.037,0.022,0.127,0.135,0.233,0.399,0.219,Second lowest,0.331,Second lowest,0.399,Middle,0.061,Lowest,2,,,8151940,1987695,1952789,4514,0,2086006,1471096,649840,3944998,4206942,24.3830916321759,23.9548990792376,0.0553733221785244,0,25.5890745025111,18.0459620654715,7.9715993984254,48.393364033592,51.606635966408,1987695,1952789,8151940,654354,2607143,24.3830916321759,23.9548990792376,31.9818717998415,8.02697272060393,,216417,250330,1771278,2021608,1987695,-33913,-1.67752600899878,24.7991030355964,24.3830916321759,-0.416011403420537,,,,,,8151933.9777832,11560.1472438312
47,87,4200,004200,53033004200,42,Census Tract 42,608.83259931,0,23930.3293406803,87,42,,,,,,608.83259931,0.17430422,0.188,0.03907867,0.467,0.11972169,0.369,0.13810895,0.294,0.2064635,0.068,0.109,0.055,0.203,0.079,0.083,0.06376409,0.8735,0.105,0.345,0.187,0.06,0.082,0.15,0.031,0.128,Lowest,0.316,Second lowest,0.121,Lowest,0.046,Lowest,1,,,26520681,8453466,8887156,15932,0,5056627,3223090,884410,17356554,9164127,31.8749959701261,33.5102858029928,0.0600738721603718,0,19.0667313558049,12.1531192958431,3.33479370307271,65.4453556452792,34.5546443547208,8453466,8887156,26520681,900342,9787498,31.8749959701261,33.5102858029928,36.9051533782258,3.39486757523308,,1029505,971025,7423961,8394986,8453466,58480,0.696606283798448,31.6544888119577,31.8749959701261,0.220507158168378,,,,,,26520745.9179382,23930.3283559582
48,88,4301,004301,53033004301,43.01,Census Tract 43.01,241.99065289,0,17201.3709272383,88,105,,,,,,241.99065289,0.2674482,0.489,0.03659942,0.414,0.18484188,0.625,0.38605162,0.813,0.25816282,0.196,0.124,0.051,0.2,0.096,0.088,0.08291708,0.8509,0.406,0.285,0.082,0.518,0.533,0.323,0.264,0.482,Middle,0.512,Middle,0.542,Middle,0.324,Second lowest,3,,,10541082,3686485,2507086,13693,0,2516279,1020456,797083,6207264,4333818,34.9725483588876,23.783953108419,0.129901275789335,0,23.8711642694744,9.68075193798891,7.56168104944066,58.886402743096,41.113597256904,3686485,2507086,10541082,810776,3317862,34.9725483588876,23.783953108419,31.475535433649,7.69158232522999,,354011,446476,3332474,3778950,3686485,-92465,-2.44684369996957,35.8497353497487,34.9725483588876,-0.877186990861091,,,,,,10541111.4552307,17201.3696244699
49,89,4302,004302,53033004302,43.02,Census Tract 43.02,81.71674016,0,8012.1772401786,89,7,,,,,,81.71674016,0.42860899,0.737,0.1683063,0.828,0.32763608,0.88,0.65197935,0.978,0.32511924,0.414,0.159,0.04,0.202,0.145,0.107,0.0834017,0.8312,0.721,0.052,0.15,0.962,0.969,0.33,0.489,0.715,Second highest,0.813,Highest priority/Most disadvantaged,0.7,Second highest,0.572,Middle,4,,,3559578,1036438,749297,0,0,967154,478011,328678,1785735,1773843,29.1168784614356,21.0501638115529,0,0,27.170467959966,13.4288671297553,9.23362263729015,50.1670422729885,49.8329577270115,1036438,749297,3559578,328678,1077975,29.1168784614356,21.0501638115529,30.2837864488431,9.23362263729015,,97442,178544,938996,1117540,1036438,-81102,-7.25718989924298,31.3952946107657,29.1168784614356,-2.27841614933006,,,,,,3559580.4710083,8012.17627055337
50,90,4000,004000,53033004000,40,Census Tract 40,613.49153564,0,28199.5746102572,90,126,,,,,,613.49153564,0.30378096,0.564,0.05844156,0.602,0.14863103,0.542,0.26136364,0.594,0.2,0.053,0.129,0.069,0.218,0.087,0.087,0.11976048,0.8678,0.466,0.609,0.458,0.27,0.458,0.706,0.053,0.474,Middle,0.594,Second highest,0.309,Second lowest,0.452,Middle,3,,,26723761,6083015,12184612,118349,375376,2970892,1810547,3180970,18761352,7962409,22.7625707324654,45.5946750908302,0.442860568914682,1.40465258613861,11.1170429940606,6.7750456232564,11.9031524043341,70.2047589783489,29.7952410216511,6083015,12184612,26348385,3299319,15483931,23.0868609214569,46.2442460894662,58.7661482857488,12.5219021962826,,898133,735034,5184882,5919916,6083015,163099,2.75508976816563,22.4678514451645,23.0868609214569,0.61900947629238,,,,,,26723688.7258911,28199.5732400631
51,91,4400,004400,53033004400,44,Census Tract 44,244.59580337,0,13317.8982382643,91,59,,,,,,244.59580337,0.29924297,0.549,0.0462691,0.542,0.13126696,0.459,0.50588928,0.918,0.22213024,0.091,0.126,0.04,0.201,0.112,0.096,0.09285499,0.8942,0.428,0.052,0.127,0.759,0.857,0.406,0.008,0.504,Middle,0.557,Middle,0.542,Middle,0.376,Second lowest,3,,,10654610,3774983,2233046,14086,0,2497117,1557919,577459,6022115,4632495,35.4305131769253,20.9584958998969,0.132205683736899,0,23.4369629672039,14.6220180748052,5.41980419743191,56.521214760559,43.478785239441,3774983,2233046,10654610,591545,2824591,35.4305131769253,20.9584958998969,26.5105057810657,5.55200988116881,,356044,396614,3418939,3815553,3774983,-40570,-1.0632796871122,35.8112873206997,35.4305131769253,-0.380774143774389,,,,,,10654592.6272888,13317.8975666496
52,92,4500,004500,53033004500,45,Census Tract 45,165.79750953,0,11018.3015326689,92,127,,,,,,165.79750953,0.20378989,0.309,0.01421464,0.136,0.0724734,0.091,0.24395973,0.564,0.28632887,0.301,0.121,0.04,0.214,0.104,0.092,0.05823371,0.83,0.33,0.052,0.375,0.661,0.721,0.097,0.512,0.354,Second lowest,0.181,Lowest,0.467,Middle,0.399,Middle,2,,,7222126,1838076,2056681,7580,0,1498793,1504549,316447,3902337,3319789,25.4506221575198,28.4775009463972,0.104955244480642,0,20.752794952622,20.8324944760033,4.381632222977,54.0330783483977,45.9669216516023,1838076,2056681,7222126,324027,2380708,25.4506221575198,28.4775009463972,32.9640884138549,4.48658746745764,,236581,223201,1601495,1824696,1838076,13380,0.733272830104302,25.2653581507717,25.4506221575198,0.185264006748149,,,,,,7222138.74887085,11018.3008571943
53,94,4600,004600,53033004600,46,Census Tract 46,382.24270702,0,40944.7510816396,94,60,,,,,,382.24270702,0.11576902,0.016,0.0176108,0.204,0.06579678,0.053,0.12493059,0.211,0.22725612,0.106,0.107,0.047,0.206,0.083,0.084,0.04221002,0.8431,0.09,0.218,0.225,0.127,0.135,0.022,0.309,0.038,Lowest,0.038,Lowest,0.098,Lowest,0.091,Lowest,1,,,16650480,6531708,5888693,104799,11516,1980367,1650597,482800,12536716,4113764,39.228346570189,35.3665059505792,0.629405278406388,0.0691631712719393,11.8937532131206,9.91320970926964,2.89961610716328,75.2934209704465,24.7065790295535,6531708,5888693,16638964,587599,6476292,39.2554969167552,35.3909834770963,38.9224473350625,3.53146385796616,,538783,550306,5992925,6543231,6531708,-11523,-0.176105657892867,39.324750026504,39.2554969167552,-0.0692531097488924,,,,,,16650490.3276978,40944.7480515858
54,95,3600,003600,53033003600,36,Census Tract 36,295.63260503,0,17738.0446867492,95,106,,,,,,295.63260503,0.22959585,0.376,0.02151228,0.271,0.12470514,0.407,0.27647432,0.625,0.20338633,0.061,0.113,0.044,0.198,0.086,0.085,0.11176576,0.8331,0.157,0.142,0.06,0.233,0.24,0.616,0.444,0.309,Second lowest,0.354,Second lowest,0.346,Second lowest,0.226,Second lowest,2,,,12877723,2903085,3089939,4373,0,3112231,2938025,830070,5997397,6880326,22.5434651762583,23.9944515035771,0.0339578666197433,0,24.1675566402539,22.8147864339061,6.44578237938493,46.5718745464551,53.4281254535449,2903085,3089939,12877723,834443,3924382,22.5434651762583,23.9944515035771,30.4741917495818,6.47974024600467,,389114,366101,2513971,2880072,2903085,23013,0.799042523936902,22.3647612237039,22.5434651762583,0.178703952554343,,,,,,12877755.3920898,17738.0436834316
55,96,3900,003900,53033003900,39,Census Tract 39,240.61834206,0,13200.9092050906,96,80,,,,,,240.61834206,0.21407432,0.331,0.04490378,0.512,0.14699112,0.534,0.13271707,0.264,0.28558352,0.294,0.121,0.064,0.202,0.078,0.081,0.05319149,0.8832,0.33,0.503,0.15,0.045,0.007,0.067,0.023,0.211,Second lowest,0.437,Middle,0.241,Second lowest,0.083,Lowest,2,,,10481515,2789785,3830212,50428,0,2127323,1294802,388965,6670425,3811090,26.6162382060227,36.5425417985854,0.48111365580262,0,20.2959495836241,12.3531951249414,3.71096163102376,63.6398936604107,36.3601063395893,2789785,3830212,10481515,439393,4269605,26.6162382060227,36.5425417985854,40.7346170854118,4.19207528682638,,356075,334372,2433710,2768082,2789785,21703,0.784044692317641,26.4091784441467,26.6162382060227,0.207059761876028,,,,,,10481333.8360291,13200.9085431686
